date,ticker,open,high,low,close,volume,amount,adj_factor
2026-02-02,AAA,20.02,20.52,19.72,20.12,124254.0,2500000,1.0
2026-02-03,AAA,20.17,20.68,19.86,20.27,123335.0,2510000,1.0
2026-02-04,AAA,20.35,20.86,20.04,20.45,122249.0,2520000,1.0
2026-02-05,AAA,20.56,21.07,20.25,20.66,121007.0,2530000,1.0
2026-02-06,AAA,20.8,21.32,20.48,20.9,119617.0,2540000,1.0
2026-02-09,AAA,20.91,21.44,20.6,21.02,118934.0,2550000,1.0
2026-02-10,AAA,21.06,21.59,20.75,21.17,118092.0,2560000,1.0
2026-02-11,AAA,21.24,21.78,20.92,21.35,117096.0,2500000,1.0
2026-02-12,AAA,21.45,21.99,21.13,21.56,115955.0,2510000,1.0
2026-02-13,AAA,21.69,22.24,21.36,21.8,114679.0,2520000,1.0
2026-02-16,AAA,21.81,22.36,21.48,21.92,114051.0,2530000,1.0
2026-02-17,AAA,21.96,22.51,21.63,22.07,113276.0,2540000,1.0
2026-02-18,AAA,22.14,22.69,21.8,22.25,112360.0,2550000,1.0
2026-02-19,AAA,22.35,22.91,22.01,22.46,111309.0,2560000,1.0
2026-02-20,AAA,22.59,23.15,22.25,22.7,110132.0,2500000,1.0
2026-02-23,AAA,22.71,23.28,22.36,22.82,109553.0,2510000,1.0
2026-02-24,AAA,22.86,23.43,22.51,22.97,108838.0,2520000,1.0
2026-02-25,AAA,23.03,23.61,22.69,23.15,107991.0,2530000,1.0
2026-02-26,AAA,23.24,23.83,22.89,23.36,107021.0,2540000,1.0
2026-02-27,AAA,23.48,24.07,23.13,23.6,105932.0,2550000,1.0
2026-03-02,AAA,23.6,24.19,23.25,23.72,105396.0,2560000,1.0
2026-03-03,AAA,23.75,24.35,23.39,23.87,104734.0,2500000,1.0
2026-03-04,AAA,23.93,24.53,23.57,24.05,103950.0,2510000,1.0
2026-03-05,AAA,24.14,24.75,23.77,24.26,103050.0,2520000,1.0
2026-03-06,AAA,24.38,24.99,24.01,24.5,102041.0,2530000,1.0
2026-03-09,AAA,24.5,25.11,24.13,24.62,101543.0,2540000,1.0
2026-03-10,AAA,24.65,25.27,24.27,24.77,100929.0,2550000,1.0
2026-03-11,AAA,24.83,25.45,24.45,24.95,100200.0,2560000,1.0
2026-03-12,AAA,25.03,25.66,24.66,25.16,99364.0,2500000,1.0
2026-03-13,AAA,25.27,25.91,24.89,25.4,98425.0,2510000,1.0
2026-03-16,AAA,25.39,26.03,25.01,25.52,97962.0,2520000,1.0
2026-03-17,AAA,25.54,26.18,25.16,25.67,97390.0,2530000,1.0
2026-03-18,AAA,25.72,26.37,25.33,25.85,96712.0,2540000,1.0
2026-03-19,AAA,25.93,26.58,25.54,26.06,95932.0,2550000,1.0
2026-03-20,AAA,26.17,26.83,25.77,26.3,95057.0,2560000,1.0
2026-03-23,AAA,26.29,26.95,25.89,26.42,94625.0,2500000,1.0
2026-03-24,AAA,26.44,27.1,26.04,26.57,94091.0,2510000,1.0
2026-03-25,AAA,26.62,27.28,26.21,26.75,93458.0,2520000,1.0
2026-03-26,AAA,26.83,27.5,26.42,26.96,92730.0,2530000,1.0
2026-03-27,AAA,27.06,27.74,26.66,27.2,91912.0,2540000,1.0
2026-03-30,AAA,27.18,27.87,26.77,27.32,91508.0,2550000,1.0
2026-03-31,AAA,27.33,28.02,26.92,27.47,91008.0,2560000,1.0
2026-04-01,AAA,27.51,28.2,27.1,27.65,90416.0,2500000,1.0
2026-04-02,AAA,27.72,28.42,27.3,27.86,89734.0,2510000,1.0
2026-04-03,AAA,27.96,28.66,27.54,28.1,88968.0,2520000,1.0
2026-04-06,AAA,28.08,28.78,27.66,28.22,88590.0,2530000,1.0
2026-04-07,AAA,28.23,28.94,27.8,28.37,88121.0,2540000,1.0
2026-04-08,AAA,28.41,29.12,27.98,28.55,87566.0,2550000,1.0
2026-04-09,AAA,28.62,29.34,28.18,28.76,86926.0,2560000,1.0
2026-04-10,AAA,28.85,29.58,28.42,29.0,86207.0,2500000,1.0
2026-04-13,AAA,28.97,29.7,28.54,29.12,85852.0,2510000,1.0
2026-04-14,AAA,29.12,29.86,28.68,29.27,85412.0,2520000,1.0
2026-04-15,AAA,29.3,30.04,28.86,29.45,84890.0,2530000,1.0
2026-04-16,AAA,29.51,30.25,29.07,29.66,84289.0,2540000,1.0
2026-04-17,AAA,29.75,30.5,29.3,29.9,83612.0,2550000,1.0
2026-04-20,AAA,29.87,30.62,29.42,30.02,83278.0,2560000,1.0
2026-04-21,AAA,30.02,30.77,29.57,30.17,82864.0,2500000,1.0
2026-04-22,AAA,30.2,30.96,29.74,30.35,82372.0,2510000,1.0
2026-04-23,AAA,30.41,31.17,29.95,30.56,81806.0,2520000,1.0
2026-04-24,AAA,30.65,31.42,30.18,30.8,81169.0,2530000,1.0
2026-04-27,AAA,30.77,31.54,30.3,30.92,80854.0,2540000,1.0
2026-04-28,AAA,30.91,31.69,30.45,31.07,80463.0,2550000,1.0
2026-04-29,AAA,31.09,31.87,30.62,31.25,80000.0,2560000,1.0
2026-04-30,AAA,31.3,32.09,30.83,31.46,79466.0,2500000,1.0
2026-05-01,AAA,31.54,32.33,31.07,31.7,78864.0,2510000,1.0
2026-05-04,AAA,31.66,32.46,31.18,31.82,78567.0,2520000,1.0
2026-05-05,AAA,31.81,32.61,31.33,31.97,78198.0,2530000,1.0
2026-05-06,AAA,31.99,32.79,31.51,32.15,77760.0,2540000,1.0
2026-05-07,AAA,32.2,33.01,31.71,32.36,77256.0,2550000,1.0
2026-05-08,AAA,32.44,33.25,31.95,32.6,76687.0,2560000,1.0
2026-05-11,AAA,32.56,33.37,32.07,32.72,76406.0,2500000,1.0
2026-05-12,AAA,32.71,33.53,32.21,32.87,76057.0,2510000,1.0
2026-05-13,AAA,32.88,33.71,32.39,33.05,75643.0,2520000,1.0
2026-05-14,AAA,33.09,33.93,32.59,33.26,75165.0,2530000,1.0
2026-05-15,AAA,33.33,34.17,32.83,33.5,74627.0,2540000,1.0
2026-05-18,AAA,33.45,34.29,32.95,33.62,74360.0,2550000,1.0
